{'model': 'vgae', 'task': 'train', 'dataset': 'credit', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.01, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on credit ---
Starting Stage 1 (VGAE) training on credit...
Epoch 1 | Train Loss: 28.3094 | Val Loss: 62.0227 | LS: 0.7029 | LX: 18.7976 | LA: 1.7909 | HGR: 0.0583 | KL: 0.2110 | Ent: -0.6920 | Time: 0.61s
Epoch 36 | Train Loss: 5.6762 | Val Loss: 3.2098 | LS: 0.2934 | LX: 0.9885 | LA: 1.3858 | HGR: 0.0530 | KL: 1.0243 | Ent: -0.2546 | Time: 0.10s
Epoch 37 | Train Loss: 5.6546 | Val Loss: 3.2223 | LS: 0.2917 | LX: 0.9883 | LA: 1.3859 | HGR: 0.0362 | KL: 0.9893 | Ent: -0.2568 | Time: 0.10s
Epoch 38 | Train Loss: 5.6599 | Val Loss: 3.1920 | LS: 0.2919 | LX: 0.9880 | LA: 1.3860 | HGR: 0.0337 | KL: 0.9446 | Ent: -0.2649 | Time: 0.10s
Epoch 39 | Train Loss: 5.6551 | Val Loss: 3.2231 | LS: 0.2934 | LX: 0.9878 | LA: 1.3859 | HGR: 0.0047 | KL: 0.9661 | Ent: -0.2501 | Time: 0.10s
Epoch 40 | Train Loss: 5.6403 | Val Loss: 3.2504 | LS: 0.2908 | LX: 0.9876 | LA: 1.3859 | HGR: 0.0047 | KL: 1.0618 | Ent: -0.2518 | Time: 0.10s
Epoch 41 | Train Loss: 5.6422 | Val Loss: 3.1741 | LS: 0.2894 | LX: 0.9875 | LA: 1.3858 | HGR: -0.0033 | KL: 1.1530 | Ent: -0.2604 | Time: 0.10s
Epoch 42 | Train Loss: 5.6437 | Val Loss: 3.1650 | LS: 0.2913 | LX: 0.9876 | LA: 1.3859 | HGR: 0.0282 | KL: 1.0269 | Ent: -0.2452 | Time: 0.10s
Epoch 43 | Train Loss: 5.6465 | Val Loss: 3.1812 | LS: 0.2944 | LX: 0.9875 | LA: 1.3860 | HGR: -0.0008 | KL: 0.8326 | Ent: -0.2463 | Time: 0.10s
Epoch 44 | Train Loss: 5.6434 | Val Loss: 3.1710 | LS: 0.2923 | LX: 0.9873 | LA: 1.3860 | HGR: 0.0121 | KL: 0.8465 | Ent: -0.2581 | Time: 0.10s
Epoch 45 | Train Loss: 5.6449 | Val Loss: 3.2063 | LS: 0.2911 | LX: 0.9872 | LA: 1.3860 | HGR: 0.0284 | KL: 1.0401 | Ent: -0.2464 | Time: 0.10s
Epoch 46 | Train Loss: 5.6242 | Val Loss: 3.2497 | LS: 0.2874 | LX: 0.9868 | LA: 1.3860 | HGR: 0.0262 | KL: 1.0520 | Ent: -0.2618 | Time: 0.10s
Epoch 47 | Train Loss: 5.6408 | Val Loss: 3.2274 | LS: 0.2915 | LX: 0.9869 | LA: 1.3861 | HGR: 0.0078 | KL: 0.9459 | Ent: -0.2550 | Time: 0.10s
Epoch 48 | Train Loss: 5.6182 | Val Loss: 3.2453 | LS: 0.2890 | LX: 0.9870 | LA: 1.3861 | HGR: 0.0236 | KL: 0.9508 | Ent: -0.2493 | Time: 0.10s
Epoch 49 | Train Loss: 5.6051 | Val Loss: 3.1645 | LS: 0.2870 | LX: 0.9866 | LA: 1.3860 | HGR: -0.0098 | KL: 1.0312 | Ent: -0.2634 | Time: 0.10s
Epoch 50 | Train Loss: 5.6024 | Val Loss: 3.2959 | LS: 0.2877 | LX: 0.9865 | LA: 1.3860 | HGR: -0.0058 | KL: 1.1749 | Ent: -0.2385 | Time: 0.10s
Epoch 51 | Train Loss: 5.6463 | Val Loss: 3.1759 | LS: 0.2881 | LX: 0.9858 | LA: 1.3860 | HGR: -0.0047 | KL: 1.1480 | Ent: -0.2805 | Time: 0.10s
Epoch 52 | Train Loss: 5.6492 | Val Loss: 3.2312 | LS: 0.2946 | LX: 0.9867 | LA: 1.3861 | HGR: 0.0034 | KL: 1.1617 | Ent: -0.2129 | Time: 0.10s
Epoch 53 | Train Loss: 5.6309 | Val Loss: 3.2867 | LS: 0.2884 | LX: 0.9862 | LA: 1.3861 | HGR: 0.0204 | KL: 1.0147 | Ent: -0.2625 | Time: 0.10s
Epoch 54 | Train Loss: 5.6177 | Val Loss: 3.1991 | LS: 0.2845 | LX: 0.9857 | LA: 1.3861 | HGR: 0.0169 | KL: 1.1661 | Ent: -0.2753 | Time: 0.10s
Epoch 55 | Train Loss: 5.6654 | Val Loss: 3.2424 | LS: 0.2958 | LX: 0.9866 | LA: 1.3862 | HGR: 0.0146 | KL: 1.2091 | Ent: -0.2068 | Time: 0.10s
Epoch 56 | Train Loss: 5.6025 | Val Loss: 3.3541 | LS: 0.2870 | LX: 0.9861 | LA: 1.3862 | HGR: 0.0057 | KL: 1.1272 | Ent: -0.2451 | Time: 0.10s
Epoch 57 | Train Loss: 5.6409 | Val Loss: 3.2891 | LS: 0.2831 | LX: 0.9850 | LA: 1.3862 | HGR: 0.0192 | KL: 1.2639 | Ent: -0.3025 | Time: 0.10s
Epoch 58 | Train Loss: 5.5684 | Val Loss: 3.1560 | LS: 0.2814 | LX: 0.9851 | LA: 1.3862 | HGR: 0.0063 | KL: 1.1813 | Ent: -0.2621 | Time: 0.10s
Epoch 59 | Train Loss: 5.6653 | Val Loss: 3.2045 | LS: 0.2971 | LX: 0.9867 | LA: 1.3863 | HGR: 0.0186 | KL: 1.1891 | Ent: -0.1927 | Time: 0.10s
Epoch 60 | Train Loss: 5.6463 | Val Loss: 3.3315 | LS: 0.2939 | LX: 0.9864 | LA: 1.3863 | HGR: 0.0184 | KL: 1.0775 | Ent: -0.2173 | Time: 0.10s
Epoch 61 | Train Loss: 5.6004 | Val Loss: 3.3268 | LS: 0.2811 | LX: 0.9848 | LA: 1.3863 | HGR: 0.0175 | KL: 1.1515 | Ent: -0.2945 | Time: 0.10s
Epoch 62 | Train Loss: 5.6085 | Val Loss: 3.1809 | LS: 0.2827 | LX: 0.9838 | LA: 1.3862 | HGR: 0.0066 | KL: 1.2035 | Ent: -0.2875 | Time: 0.10s
Epoch 63 | Train Loss: 5.6207 | Val Loss: 3.1554 | LS: 0.2895 | LX: 0.9850 | LA: 1.3863 | HGR: 0.0158 | KL: 1.2508 | Ent: -0.2209 | Time: 0.10s
Epoch 64 | Train Loss: 5.5651 | Val Loss: 3.2109 | LS: 0.2864 | LX: 0.9850 | LA: 1.3864 | HGR: 0.0102 | KL: 1.0136 | Ent: -0.2236 | Time: 0.10s
Epoch 65 | Train Loss: 5.5965 | Val Loss: 3.2004 | LS: 0.2842 | LX: 0.9844 | LA: 1.3864 | HGR: 0.0231 | KL: 0.9273 | Ent: -0.2789 | Time: 0.10s
Epoch 66 | Train Loss: 5.5781 | Val Loss: 3.1771 | LS: 0.2833 | LX: 0.9839 | LA: 1.3865 | HGR: 0.0146 | KL: 0.9447 | Ent: -0.2731 | Time: 0.10s
Epoch 67 | Train Loss: 5.5552 | Val Loss: 3.2066 | LS: 0.2863 | LX: 0.9842 | LA: 1.3865 | HGR: -0.0086 | KL: 1.0366 | Ent: -0.2225 | Time: 0.10s
Epoch 68 | Train Loss: 5.5615 | Val Loss: 3.2726 | LS: 0.2834 | LX: 0.9833 | LA: 1.3864 | HGR: 0.0119 | KL: 1.1895 | Ent: -0.2325 | Time: 0.10s
Epoch 69 | Train Loss: 5.5549 | Val Loss: 3.1890 | LS: 0.2788 | LX: 0.9822 | LA: 1.3864 | HGR: 0.0191 | KL: 1.2061 | Ent: -0.2683 | Time: 0.10s
Epoch 70 | Train Loss: 5.5148 | Val Loss: 3.1503 | LS: 0.2781 | LX: 0.9825 | LA: 1.3866 | HGR: 0.0048 | KL: 1.0771 | Ent: -0.2541 | Time: 0.10s
Epoch 71 | Train Loss: 5.5491 | Val Loss: 3.1610 | LS: 0.2848 | LX: 0.9840 | LA: 1.3867 | HGR: 0.0065 | KL: 0.9637 | Ent: -0.2306 | Time: 0.10s
Epoch 72 | Train Loss: 5.5257 | Val Loss: 3.2013 | LS: 0.2804 | LX: 0.9816 | LA: 1.3868 | HGR: 0.0066 | KL: 0.9563 | Ent: -0.2540 | Time: 0.10s
Epoch 73 | Train Loss: 5.5488 | Val Loss: 3.1716 | LS: 0.2790 | LX: 0.9805 | LA: 1.3868 | HGR: 0.0389 | KL: 1.1185 | Ent: -0.2600 | Time: 0.10s
Epoch 74 | Train Loss: 5.5344 | Val Loss: 3.1748 | LS: 0.2818 | LX: 0.9810 | LA: 1.3868 | HGR: 0.0174 | KL: 1.1859 | Ent: -0.2214 | Time: 0.10s
Epoch 75 | Train Loss: 5.5165 | Val Loss: 3.2261 | LS: 0.2783 | LX: 0.9795 | LA: 1.3870 | HGR: 0.0131 | KL: 1.0656 | Ent: -0.2536 | Time: 0.10s
Epoch 76 | Train Loss: 5.5123 | Val Loss: 3.1280 | LS: 0.2766 | LX: 0.9795 | LA: 1.3873 | HGR: 0.0133 | KL: 1.0331 | Ent: -0.2698 | Time: 0.10s
Epoch 77 | Train Loss: 5.5367 | Val Loss: 3.1880 | LS: 0.2854 | LX: 0.9811 | LA: 1.3874 | HGR: -0.0050 | KL: 1.1322 | Ent: -0.2038 | Time: 0.10s
Epoch 78 | Train Loss: 5.5173 | Val Loss: 3.4420 | LS: 0.2806 | LX: 0.9777 | LA: 1.3874 | HGR: -0.0054 | KL: 1.2334 | Ent: -0.2253 | Time: 0.10s
Epoch 79 | Train Loss: 5.6410 | Val Loss: 3.3973 | LS: 0.2796 | LX: 0.9964 | LA: 1.3875 | HGR: 0.0000 | KL: 1.4062 | Ent: -0.3202 | Time: 0.10s
Epoch 80 | Train Loss: 5.6388 | Val Loss: 3.2354 | LS: 0.2809 | LX: 0.9804 | LA: 1.3873 | HGR: 0.0021 | KL: 1.4170 | Ent: -0.3197 | Time: 0.10s
Epoch 81 | Train Loss: 5.5278 | Val Loss: 3.1935 | LS: 0.2782 | LX: 0.9906 | LA: 1.3870 | HGR: 0.0089 | KL: 1.2522 | Ent: -0.2385 | Time: 0.10s
Epoch 82 | Train Loss: 5.5387 | Val Loss: 3.2472 | LS: 0.2824 | LX: 0.9810 | LA: 1.3867 | HGR: 0.0142 | KL: 1.3345 | Ent: -0.2067 | Time: 0.10s
Epoch 83 | Train Loss: 5.5490 | Val Loss: 3.2461 | LS: 0.2798 | LX: 0.9803 | LA: 1.3865 | HGR: 0.0190 | KL: 1.3034 | Ent: -0.2449 | Time: 0.10s
Epoch 84 | Train Loss: 5.5368 | Val Loss: 3.2219 | LS: 0.2755 | LX: 0.9838 | LA: 1.3864 | HGR: 0.0208 | KL: 1.1673 | Ent: -0.2841 | Time: 0.10s
Epoch 85 | Train Loss: 5.5026 | Val Loss: 3.1375 | LS: 0.2771 | LX: 0.9814 | LA: 1.3863 | HGR: 0.0232 | KL: 1.0055 | Ent: -0.2514 | Time: 0.10s
Epoch 86 | Train Loss: 5.5168 | Val Loss: 3.1646 | LS: 0.2813 | LX: 0.9821 | LA: 1.3860 | HGR: 0.0095 | KL: 1.1857 | Ent: -0.2124 | Time: 0.10s
Epoch 87 | Train Loss: 5.5254 | Val Loss: 3.2517 | LS: 0.2778 | LX: 0.9802 | LA: 1.3858 | HGR: 0.0109 | KL: 1.3115 | Ent: -0.2444 | Time: 0.10s
Epoch 88 | Train Loss: 5.5304 | Val Loss: 3.1872 | LS: 0.2763 | LX: 0.9785 | LA: 1.3859 | HGR: 0.0111 | KL: 1.1754 | Ent: -0.2803 | Time: 0.10s
Epoch 89 | Train Loss: 5.4919 | Val Loss: 3.1046 | LS: 0.2771 | LX: 0.9812 | LA: 1.3862 | HGR: 0.0092 | KL: 1.0029 | Ent: -0.2483 | Time: 0.10s
Epoch 90 | Train Loss: 5.5418 | Val Loss: 3.1863 | LS: 0.2847 | LX: 0.9832 | LA: 1.3863 | HGR: 0.0170 | KL: 1.0250 | Ent: -0.2139 | Time: 0.10s
Epoch 91 | Train Loss: 5.4930 | Val Loss: 3.2014 | LS: 0.2764 | LX: 0.9797 | LA: 1.3863 | HGR: 0.0270 | KL: 1.1023 | Ent: -0.2395 | Time: 0.10s
Epoch 92 | Train Loss: 5.5310 | Val Loss: 3.2101 | LS: 0.2756 | LX: 0.9765 | LA: 1.3862 | HGR: 0.0173 | KL: 1.2625 | Ent: -0.2778 | Time: 0.10s
Epoch 93 | Train Loss: 5.4864 | Val Loss: 3.1671 | LS: 0.2726 | LX: 0.9770 | LA: 1.3864 | HGR: 0.0085 | KL: 1.3823 | Ent: -0.2546 | Time: 0.10s
Epoch 94 | Train Loss: 5.5429 | Val Loss: 3.1973 | LS: 0.2827 | LX: 0.9797 | LA: 1.3867 | HGR: 0.0344 | KL: 1.3070 | Ent: -0.2022 | Time: 0.10s
Epoch 95 | Train Loss: 5.4873 | Val Loss: 3.2534 | LS: 0.2769 | LX: 0.9761 | LA: 1.3869 | HGR: 0.0217 | KL: 1.1845 | Ent: -0.2259 | Time: 0.10s
Epoch 96 | Train Loss: 5.5119 | Val Loss: 3.2349 | LS: 0.2750 | LX: 0.9730 | LA: 1.3876 | HGR: 0.0066 | KL: 1.0785 | Ent: -0.2899 | Time: 0.10s
Epoch 97 | Train Loss: 5.5059 | Val Loss: 3.1234 | LS: 0.2755 | LX: 0.9747 | LA: 1.3876 | HGR: 0.0308 | KL: 1.0039 | Ent: -0.2729 | Time: 0.10s
Epoch 98 | Train Loss: 5.5568 | Val Loss: 3.1015 | LS: 0.2881 | LX: 0.9764 | LA: 1.3877 | HGR: 0.0131 | KL: 1.0258 | Ent: -0.2027 | Time: 0.10s
Epoch 99 | Train Loss: 5.5320 | Val Loss: 3.2349 | LS: 0.2839 | LX: 0.9733 | LA: 1.3877 | HGR: 0.0183 | KL: 1.1250 | Ent: -0.2099 | Time: 0.10s
Epoch 100 | Train Loss: 5.4758 | Val Loss: 3.1909 | LS: 0.2716 | LX: 0.9679 | LA: 1.3884 | HGR: 0.0108 | KL: 1.2316 | Ent: -0.2745 | Time: 0.10s
Epoch 101 | Train Loss: 5.4707 | Val Loss: 3.1247 | LS: 0.2717 | LX: 0.9686 | LA: 1.3885 | HGR: 0.0024 | KL: 1.2106 | Ent: -0.2747 | Time: 0.10s
Epoch 102 | Train Loss: 5.4931 | Val Loss: 3.1322 | LS: 0.2800 | LX: 0.9748 | LA: 1.3883 | HGR: 0.0145 | KL: 1.1264 | Ent: -0.2099 | Time: 0.10s
Epoch 103 | Train Loss: 5.4646 | Val Loss: 3.3062 | LS: 0.2775 | LX: 0.9720 | LA: 1.3884 | HGR: 0.0033 | KL: 1.1337 | Ent: -0.2142 | Time: 0.10s
Epoch 104 | Train Loss: 5.5012 | Val Loss: 3.2447 | LS: 0.2726 | LX: 0.9780 | LA: 1.3885 | HGR: -0.0011 | KL: 1.2514 | Ent: -0.2844 | Time: 0.10s
Epoch 105 | Train Loss: 5.4881 | Val Loss: 3.1384 | LS: 0.2720 | LX: 0.9632 | LA: 1.3896 | HGR: 0.0027 | KL: 1.2896 | Ent: -0.2854 | Time: 0.10s
Epoch 106 | Train Loss: 5.4941 | Val Loss: 3.1458 | LS: 0.2783 | LX: 0.9701 | LA: 1.3891 | HGR: 0.0039 | KL: 1.2527 | Ent: -0.2248 | Time: 0.10s
Epoch 107 | Train Loss: 5.4666 | Val Loss: 3.2259 | LS: 0.2765 | LX: 0.9729 | LA: 1.3891 | HGR: 0.0023 | KL: 1.1907 | Ent: -0.2198 | Time: 0.10s
Epoch 108 | Train Loss: 5.4711 | Val Loss: 3.1763 | LS: 0.2719 | LX: 0.9676 | LA: 1.3898 | HGR: 0.0082 | KL: 1.1443 | Ent: -0.2761 | Time: 0.10s
Epoch 109 | Train Loss: 5.4578 | Val Loss: 3.1038 | LS: 0.2716 | LX: 0.9665 | LA: 1.3899 | HGR: 0.0104 | KL: 1.1032 | Ent: -0.2700 | Time: 0.10s
Early stopping at epoch 109
VGAE Training Finished. Total Time: 11.78s
